"Date","Price","Open","High","Low","Vol.","Change %"
"05/13/2025","0.6416","0.6454","0.6456","0.6402","","-0.59%"
"05/12/2025","0.6454","0.6396","0.6460","0.6383","","1.18%"
"05/09/2025","0.6379","0.6396","0.6407","0.6358","","-0.27%"
"05/08/2025","0.6396","0.6395","0.6404","0.6363","","0.05%"
"05/07/2025","0.6393","0.6384","0.6412","0.6374","","0.16%"
"05/06/2025","0.6383","0.6393","0.6409","0.6379","","-0.16%"
"05/05/2025","0.6393","0.6402","0.6417","0.6371","","-0.19%"
"05/02/2025","0.6405","0.6392","0.6412","0.6372","","0.20%"
"05/01/2025","0.6392","0.6397","0.6420","0.6385","","-0.08%"
"04/30/2025","0.6397","0.6350","0.6408","0.6343","","0.74%"
"04/29/2025","0.6350","0.6330","0.6354","0.6324","","0.32%"
"04/28/2025","0.6330","0.6346","0.6362","0.6321","","-0.31%"
"04/25/2025","0.6350","0.6339","0.6370","0.6333","","0.17%"
"04/24/2025","0.6339","0.6365","0.6368","0.6327","","-0.42%"
"04/23/2025","0.6366","0.6338","0.6383","0.6331","","0.44%"
"04/22/2025","0.6338","0.6274","0.6342","0.6270","","1.05%"
"04/21/2025","0.6272","0.6341","0.6343","0.6264","","-1.03%"
"04/18/2025","0.6337","0.6359","0.6361","0.6328","","-0.33%"
"04/17/2025","0.6358","0.6330","0.6371","0.6325","","0.46%"
"04/16/2025","0.6329","0.6352","0.6352","0.6306","","-0.33%"
"04/15/2025","0.6350","0.6350","0.6382","0.6337","","0.03%"
"04/14/2025","0.6348","0.6389","0.6396","0.6321","","0.00%"
"04/11/2025","0.6348","0.6386","0.6392","0.6275","","-0.56%"
"04/10/2025","0.6384","0.6484","0.6486","0.6361","","-1.53%"
"04/09/2025","0.6483","0.6398","0.6491","0.6350","","1.36%"
"04/08/2025","0.6396","0.6437","0.6482","0.6395","","-0.61%"
"04/07/2025","0.6435","0.6415","0.6455","0.6356","","0.28%"
"04/04/2025","0.6417","0.6419","0.6442","0.6352","","0.02%"
"04/03/2025","0.6416","0.6473","0.6499","0.6355","","-0.87%"
"04/02/2025","0.6472","0.6478","0.6483","0.6416","","-0.08%"
"04/01/2025","0.6477","0.6426","0.6480","0.6415","","0.81%"
"03/31/2025","0.6425","0.6453","0.6463","0.6423","","-0.37%"
"03/28/2025","0.6449","0.6472","0.6487","0.6445","","-0.34%"
"03/27/2025","0.6471","0.6518","0.6523","0.6461","","-0.69%"
"03/26/2025","0.6516","0.6490","0.6520","0.6485","","0.43%"
"03/25/2025","0.6488","0.6465","0.6493","0.6458","","0.39%"
"03/24/2025","0.6463","0.6444","0.6486","0.6428","","0.31%"
"03/21/2025","0.6443","0.6432","0.6452","0.6421","","0.20%"
"03/20/2025","0.6430","0.6403","0.6441","0.6393","","0.47%"
"03/19/2025","0.6400","0.6389","0.6420","0.6385","","0.19%"
"03/18/2025","0.6388","0.6407","0.6425","0.6378","","-0.27%"
"03/17/2025","0.6405","0.6398","0.6417","0.6384","","0.16%"
"03/14/2025","0.6395","0.6381","0.6404","0.6352","","0.25%"
"03/13/2025","0.6379","0.6392","0.6421","0.6368","","-0.19%"
"03/12/2025","0.6391","0.6345","0.6402","0.6335","","0.76%"
"03/11/2025","0.6343","0.6393","0.6396","0.6305","","-0.74%"
"03/10/2025","0.6390","0.6419","0.6442","0.6383","","-0.42%"
"03/07/2025","0.6417","0.6486","0.6489","0.6387","","-1.05%"
"03/06/2025","0.6485","0.6463","0.6492","0.6422","","0.37%"
"03/05/2025","0.6461","0.6539","0.6545","0.6434","","-1.15%"
"03/04/2025","0.6536","0.6585","0.6600","0.6503","","-0.70%"
"03/03/2025","0.6582","0.6662","0.6667","0.6565","","-1.20%"
"02/28/2025","0.6662","0.6660","0.6678","0.6646","","0.05%"
"02/27/2025","0.6659","0.6653","0.6665","0.6636","","0.12%"
"02/26/2025","0.6651","0.6645","0.6663","0.6624","","0.12%"
"02/25/2025","0.6643","0.6699","0.6704","0.6641","","-0.82%"
"02/24/2025","0.6698","0.6724","0.6726","0.6693","","-0.34%"
"02/21/2025","0.6721","0.6716","0.6740","0.6712","","0.09%"
"02/20/2025","0.6715","0.6740","0.6747","0.6715","","-0.36%"
"02/19/2025","0.6739","0.6744","0.6757","0.6737","","-0.01%"
"02/18/2025","0.6740","0.6725","0.6754","0.6720","","0.27%"
"02/17/2025","0.6722","0.6721","0.6734","0.6717","","0.09%"
"02/14/2025","0.6716","0.6734","0.6748","0.6714","","-0.25%"
"02/13/2025","0.6733","0.6730","0.6760","0.6710","","0.03%"
"02/12/2025","0.6731","0.6756","0.6764","0.6721","","-0.33%"
"02/11/2025","0.6753","0.6777","0.6778","0.6745","","-0.32%"
"02/10/2025","0.6775","0.6773","0.6793","0.6748","","0.03%"
"02/07/2025","0.6773","0.6731","0.6784","0.6706","","0.64%"
"02/06/2025","0.6730","0.6719","0.6742","0.6705","","0.21%"
"02/05/2025","0.6716","0.6727","0.6733","0.6707","","-0.13%"
"02/04/2025","0.6725","0.6700","0.6736","0.6690","","0.39%"
"02/03/2025","0.6699","0.6691","0.6719","0.6604","","0.89%"
"01/31/2025","0.6640","0.6641","0.6675","0.6625","","0.00%"
"01/30/2025","0.6640","0.6655","0.6680","0.6589","","-0.21%"
"01/29/2025","0.6654","0.6658","0.6668","0.6638","","-0.03%"
"01/28/2025","0.6656","0.6632","0.6672","0.6628","","0.39%"
"01/27/2025","0.6630","0.6643","0.6650","0.6608","","-0.17%"
"01/24/2025","0.6641","0.6675","0.6683","0.6632","","-0.48%"
"01/23/2025","0.6673","0.6683","0.6696","0.6663","","-0.12%"
"01/22/2025","0.6681","0.6695","0.6707","0.6667","","-0.18%"
"01/21/2025","0.6693","0.6709","0.6714","0.6645","","-0.22%"
"01/20/2025","0.6708","0.6733","0.6733","0.6694","","-0.22%"
"01/17/2025","0.6723","0.6746","0.6754","0.6721","","-0.31%"
"01/16/2025","0.6744","0.6777","0.6783","0.6740","","-0.47%"
"01/15/2025","0.6776","0.6761","0.6789","0.6748","","0.25%"
"01/14/2025","0.6759","0.6788","0.6793","0.6754","","-0.41%"
"01/13/2025","0.6787","0.6765","0.6811","0.6764","","0.31%"
"01/10/2025","0.6766","0.6744","0.6783","0.6730","","0.33%"
"01/09/2025","0.6744","0.6741","0.6755","0.6734","","0.07%"
"01/08/2025","0.6739","0.6731","0.6760","0.6727","","0.15%"
"01/07/2025","0.6729","0.6715","0.6737","0.6698","","0.21%"
"01/06/2025","0.6715","0.6714","0.6742","0.6691","","0.01%"
"01/03/2025","0.6714","0.6763","0.6772","0.6712","","-0.72%"
"01/02/2025","0.6763","0.6712","0.6775","0.6693","","0.77%"
"01/01/2025","0.6711","0.6715","0.6719","0.6709","","-0.04%"
"12/31/2024","0.6714","0.6694","0.6719","0.6675","","0.33%"
"12/30/2024","0.6692","0.6652","0.6706","0.6647","","0.59%"
"12/27/2024","0.6653","0.6659","0.6672","0.6643","","-0.08%"
"12/26/2024","0.6658","0.6690","0.6701","0.6654","","-0.46%"
"12/25/2024","0.6689","0.6696","0.6700","0.6681","","-0.07%"
"12/24/2024","0.6694","0.6688","0.6704","0.6668","","0.12%"
"12/23/2024","0.6686","0.6676","0.6693","0.6660","","0.24%"
